NoDossier;DateYMD;Idx;Operator;Band width;Avg value;Avg unit;
PM/EM/001;20181031;4;POST;"935,1 MHz-939,7 MHz";7,271;mV/m
PM/EM/001;20181031;5;TANGO;"940,1 MHz-944,7 MHz";260,1;mV/m
PM/EM/001;20181031;6;POST;"944,9 MHz-952,3 MHz";660,7;mV/m
PM/EM/001;20181031;7;TANGO;"952,5 MHz-959,9 MHz";348,5;mV/m
PM/EM/001;20181031;8;ORANGE;"1805,0 MHz-1830,0 MHz";79,76;mV/m
PM/EM/001;20181031;9;TANGO;"1830,0 MHz-1855,0 MHz";346,5;mV/m
PM/EM/001;20181031;10;POST;"1855,0 MHz-1880,0 MHz";258,6;mV/m
PM/EM/001;20181031;11;POST;"2110,3 MHz-2125,3 MHz";209,8;mV/m
PM/EM/001;20181031;12;ORANGE;"2125,3 MHz-2140,1 MHz";49,35;mV/m
PM/EM/001;20181031;13;TANGO;"2140,1 MHz-2154,9 MHz";153,8;mV/m
PM/EM/001;20181031;14;POST;"2620,0 MHz-2640,0 MHz";<17,74;mV/m
PM/EM/001;20181031;15;ORANGE;"2640,0 MHz-2660,0 MHz";<17,89;mV/m
PM/EM/001;20181031;16;TANGO;"2660,0 MHz-2680,0 MHz";<18,04;mV/m
PM/EM/001;20181031;;#Others;"-";<94,03;mV/m
PM/EM/001;20181031;;#Total;"-";990,5;mV/m
PM/EM/004;20180509;0;POST;"791,0 MHz-801,0 MHz";18,77;mV/m
PM/EM/004;20180509;1;TANGO;"801,0 MHz-811,0 MHz";18,28;mV/m
PM/EM/004;20180509;2;ORANGE;"811,0 MHz-821,0 MHz";24,98;mV/m
PM/EM/004;20180509;3;ORANGE;"925,1 MHz-934,9 MHz";70,00;mV/m
PM/EM/004;20180509;4;POST;"935,1 MHz-939,7 MHz";<3,676;mV/m
PM/EM/004;20180509;5;TANGO;"940,1 MHz-944,7 MHz";4,993;mV/m
PM/EM/004;20180509;6;POST;"944,9 MHz-952,3 MHz";35,53;mV/m
PM/EM/004;20180509;7;TANGO;"952,5 MHz-959,9 MHz";37,89;mV/m
