X,Y,FID,OPS_PLAN_I,INCIDENT_N,PLAN_NAME,INCIDENTNU,INCIDENTNA,REGION,DISTRICT,RESERVE,FINANCIALY,SEASON,OBJECTIVE_,TREATED_AR,AREA_DRAWN,UNBOUNDED,OPERATIONS,OPS_STATUS,PUBLIC_INF,INCIDENT_C,FIREYEAR,GLOBALID,Shape_Leng,Shape_Area
138.735700513773,-34.8238252449843,17,1116,122,Ops Plan 3,122,Anstey Hill (North East Road) S20 B3,Adelaide & Mt Lofty Ranges,Northern Hills Coast and Plains,Anstey Hill (RP),2020/2021,SPRING,0.8,0,0.8,0,THOWARD,New Operations Plan, , ,2020,{562B90AA-738F-4BF7-9C05-DB6CA0CE3FC6},0.00392986271157,7.74406028627e-07
136.992301648514,-35.8938269610373,18,957,662,Ops Plan 1,662,Stringybark,Kangaroo Island,Kangaroo Island,KIPT/PF Olsen BoPL,2019/2020,AUTUMN,23.6,0,20.9,0, ,Operations Plan Retired, , ,2020,{1E154F7C-20BF-46D4-BAEE-1B75D14BC3A3},0.0236261329685,2.08631154093e-05
138.740826094202,-34.7458171639495,19,1000,680,Ops Plan 1,680,Track 6F,Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Little Para Reservoir,2019/2020,AUTUMN,19.1,19.1,19.1,0,TLEGGETT,Post Burn Activities Completed,Completed,SPARKER1,2020,{BCC37F87-F037-4C95-A1E1-04BEA1EA23DD},0.0204526658793,1.88340971676e-05
138.746437228038,-34.9527829405453,20,866,601,Ops Plan 1,601,Uraidla - Elborough Ave Part 2 (Private Land),Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Private Land,2019/2020,AUTUMN,3.5,0,3.5,0,NBASTIAN,Operations Plan Postponed, ,TGGROVES,2020,{7C7569D9-752C-4DC3-8CAF-B365A3E218FB},0.00770614457468,3.42348110807e-06
138.649531864293,-35.0941325292583,21,867,602,Ops Plan 1,602,Cherry Gardens Substation - East (Private Land),Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Private Land,2020/2021,SPRING,7.8,0,7.8,0, ,New Operations Plan, , ,2020,{BC4323DD-0B9D-41D9-B338-04499AB49CA4},0.0133044842842,7.72802942733e-06
138.76201873212,-35.0432339718604,22,1071,732,Ops Plan 1,732,Mylor Oval reburn (Council Land),Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,AHC Land,2019/2020,AUTUMN,0.8,0.8,0.8,0, ,Post Burn Activities Completed, , ,2020,{47943485-559C-4FB3-A3A1-257AF3CC7B94},0.00486375027449,7.45099917471e-07
138.167058599973,-33.0699534989346,23,991,674,Ops Plan 1,674,Frypan track,Northern & Yorke,Southern Flinders and Upper North,Wirrabara Range (CP),2019/2020,AUTUMN,245,0,245.7,0,JTILLEY,Operations Plan Postponed, ,KANDERSON,2020,{443ECDF0-BAEE-4FF9-A02B-9CBCA77A0AAD},0.0717750739362,0.000238282991538
140.32823884618,-35.8255374575297,24,1094,576,Ops Plan 2,576,Mt Rescue Block Nth,South Australian Murray-Darling Basin,Mallee and Coorong,Ngarkat (CP),2019/2020,AUTUMN,428.2,0,726.6,0,RPUDNEY,Operations Plan Withdrawn,Completed,JPIPPOS,2020,{931CD75C-B5DD-48BC-B953-217B0D1AEC51},0.280889975398,0.000724989945572
138.687444198301,-35.271275675902,25,1129,223,Ops Plan 3,223,Kyeema (Childrens Forest),Adelaide & Mt Lofty Ranges,Ranges to River,Kyeema (CP),2020/2021,SPRING,9.2,0,8.6,0,EMAPLETOFT,New Operations Plan, ,PUNSWORTH,2020,{7BB0CFD7-BA5B-4A87-8041-9FF8398A5929},0.0131783327574,8.55859835767e-06
137.011570090194,-35.851326668062,26,194,194,Ops Plan 1,194,East Gosselands Block 7,Kangaroo Island,Kangaroo Island,Flinders Chase (NP),2019/2020,AUTUMN,12.3,0,0,0, ,Operations Plan Withdrawn, , ,2020,{5BD5B8E3-1F30-4D66-A393-C8E4BBB1E350},0.0166318077768,1.21613782905e-05
